relative_path,name,fileId,mimeType,shareUrl,downloadUrl,exportUrl
g10/first semester/cs g10/first semester/LO6/Introduction-to-CSS-LO6.pdf,Introduction-to-CSS-LO6.pdf,1TQBHuOnogUNWvvd4migvfbxr0PoJTGQE,application/pdf,https://drive.google.com/file/d/1TQBHuOnogUNWvvd4migvfbxr0PoJTGQE/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1TQBHuOnogUNWvvd4migvfbxr0PoJTGQE,https://drive.google.com/uc?export=download&id=1TQBHuOnogUNWvvd4migvfbxr0PoJTGQE
g10/first semester/cs g10/first semester/Revision/mcqNetworking1.docx,mcqNetworking1.docx,1ou2I_B9u-ClkiuWmMNvUZGgKuKMW0lj4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1ou2I_B9u-ClkiuWmMNvUZGgKuKMW0lj4/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1ou2I_B9u-ClkiuWmMNvUZGgKuKMW0lj4,https://drive.google.com/uc?export=download&id=1ou2I_B9u-ClkiuWmMNvUZGgKuKMW0lj4
g10/first semester/cs g10/first semester/Revision/html-quiz-HardLevel01.docx,html-quiz-HardLevel01.docx,1q0Av_c1W2U8Gxp9Ng2_UhK173O6Vrp1u,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1q0Av_c1W2U8Gxp9Ng2_UhK173O6Vrp1u/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1q0Av_c1W2U8Gxp9Ng2_UhK173O6Vrp1u,https://drive.google.com/uc?export=download&id=1q0Av_c1W2U8Gxp9Ng2_UhK173O6Vrp1u
g10/first semester/cs g10/first semester/Revision/FlowchartWorksheet1 _ Quizizz.pdf,FlowchartWorksheet1 _ Quizizz.pdf,1k8hLPbWMxcT5Z-wn7Bx_i4xs-xAO3sFu,application/pdf,https://drive.google.com/file/d/1k8hLPbWMxcT5Z-wn7Bx_i4xs-xAO3sFu/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1k8hLPbWMxcT5Z-wn7Bx_i4xs-xAO3sFu,https://drive.google.com/uc?export=download&id=1k8hLPbWMxcT5Z-wn7Bx_i4xs-xAO3sFu
g10/first semester/cs g10/first semester/Revision/ExcelReaderAdvanced-ClaudeChat1.docx,ExcelReaderAdvanced-ClaudeChat1.docx,1wI7gfBHLTfu-koXBi1j4v_CeQ8xUeqmq,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1wI7gfBHLTfu-koXBi1j4v_CeQ8xUeqmq/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1wI7gfBHLTfu-koXBi1j4v_CeQ8xUeqmq,https://drive.google.com/uc?export=download&id=1wI7gfBHLTfu-koXBi1j4v_CeQ8xUeqmq
g10/first semester/cs g10/first semester/Revision/simple-followcharts-examples.pdf,simple-followcharts-examples.pdf,1SWckFGeCVnj-GcHnC_2UVXj9rJ_cMQOG,application/pdf,https://drive.google.com/file/d/1SWckFGeCVnj-GcHnC_2UVXj9rJ_cMQOG/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1SWckFGeCVnj-GcHnC_2UVXj9rJ_cMQOG,https://drive.google.com/uc?export=download&id=1SWckFGeCVnj-GcHnC_2UVXj9rJ_cMQOG
g10/first semester/cs g10/first semester/Revision/Followcharts-Quiz1.docx,Followcharts-Quiz1.docx,1weTURtdyE0xwsXIzu5d4f1g5rKrWkHNq,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1weTURtdyE0xwsXIzu5d4f1g5rKrWkHNq/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1weTURtdyE0xwsXIzu5d4f1g5rKrWkHNq,https://drive.google.com/uc?export=download&id=1weTURtdyE0xwsXIzu5d4f1g5rKrWkHNq
g10/first semester/cs g10/first semester/Revision/networkmcq2_OCR.pdf,networkmcq2_OCR.pdf,1Sd0qmouopi-R0Um5_plloVmoclMH4ofw,application/pdf,https://drive.google.com/file/d/1Sd0qmouopi-R0Um5_plloVmoclMH4ofw/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1Sd0qmouopi-R0Um5_plloVmoclMH4ofw,https://drive.google.com/uc?export=download&id=1Sd0qmouopi-R0Um5_plloVmoclMH4ofw
g10/first semester/cs g10/first semester/Revision/networkmcq.docx,networkmcq.docx,1rn1s-rH8rU-x-pX9ihP6W3eFuypfIS7N,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/1rn1s-rH8rU-x-pX9ihP6W3eFuypfIS7N/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=1rn1s-rH8rU-x-pX9ihP6W3eFuypfIS7N,https://drive.google.com/uc?export=download&id=1rn1s-rH8rU-x-pX9ihP6W3eFuypfIS7N
g10/first semester/cs g10/first semester/Revision/networkmcq2.docx,networkmcq2.docx,16YjRKBQOVvFrM7RkHuRT_p0a8ZfiFryw,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://docs.google.com/document/d/16YjRKBQOVvFrM7RkHuRT_p0a8ZfiFryw/edit?usp=drivesdk&ouid=101563598129890605704&rtpof=true&sd=true,https://drive.google.com/uc?export=download&id=16YjRKBQOVvFrM7RkHuRT_p0a8ZfiFryw,https://drive.google.com/uc?export=download&id=16YjRKBQOVvFrM7RkHuRT_p0a8ZfiFryw
